ID	Site	Layer	Site type	Longitude	Latitude	Country	Commune	Region	Date	Max Age	Min Age	Dating method	Lab Code	Climatic phase	MIS 	Stage	Reported climate	Excavated/ researched surface sq. M.	Other date	Comment	Reference	Industry	Typology	Production systems	Main typotechnology	Qnt of lithics	Overall Group Mobility	Mean Effort Per Raw Material	MaxDist	Sources	NTAXA	N_Ungulates	N_Carnivores	N_Microfauna	NISP_Ungulate	NISP_Carnivore	NISP_Microfauna	Felis silvestris	Felis (catus) minuta	Lynx pardinus (spelaea)	Lynx lynx	Panthera (leo) spelaea	Panthera pardus	Crocuta crocuta (spelaea)	Ursus deningeri	Ursus arctos	Ursus spelaeus	Ursus thibetanus	Martes martes	Meles meles	Mustela nivalis	Mustela putorius	Mustela palerminea	Mustela erminea	Lutra lutra	Gulo gulo	Canis lupus subsp.	Cuon alpinus (priscus)	Vulpes vulpes	Alopex lagopus	Sus scrofa	Alces alces	Cervus elaphus	Cervus simplicidens	Dama dama clactoniana	Dama dama	Megaloceros giganteus	Capreolus capreolus	Rangifer tarandus	Saiga tatarica	Rupicapra rupicapra	Rupicapra pyrenaica	Capra ibex	Capra pyrenaica	Capra caucasica	Hemitragus bonali	Hemitragus cedrensis	Ovibos moschatus	Bison priscus	Bos primigenius	Hippopotamus amphibius	Mammuthus primigenius	Palaeoloxodon / elephas antiquus	Dicerorhinus/ Stephanorhinus hemitoechus	Dicerorhinus / Stephanorhinus kirchenbergensis	Coelodonta antiquitatis	Equus caballus subsp	Equus hemionus	Equus hydruntinus	Ochotona pusilla	Oryctolagus cuniculus subsp.	Lepus timidus	Lepus europaeus	Erinaceus europaeus	Talpa europaea	Talpa romana	Sorex araneus	Sorex runtonensis	Sorex minutus	Neomys fodiens	Sicista subtilis	Allactaga major	Sciurus vulgaris	Marmota marmota	Spermophilus citellus	Spermophilus superciliosus	Glis glis	Eliomys quercinus	Muscardinus avellanarius	Pliomys episcopalis	Clethrionomys glareolus	Microtus oeconomus/malei	Microtus arvalis	Microtus agrestis	Microtus subterraneus	Microtus duodecimcostatus	Microtus multiplex	Microtus gerbei	Microtus gregalis	Microtus brecciensis	Arvicola terrestris	Arvicola sapidus	Lemmus lemmus	Dicrostonyx torquatus/gulielmi	Chionomys nivalis	Lagurus lagurus	Allocricetus bursae	Cricetus cricetus	Cricetulus migratorius	Myodes rutilus	Pliomys lenki	Apodemus sylvaticus	Micromys minutus	Castor fiber
14.1	Schweinskopf-Karmelenberg		Open air	7.3833	50.35	Germany	Karmelenberg	Rhénanie						Final Saalien	6	Saalian				"Faunal data from layer IV, same is likely for the transports, as only two artefacts are reported by Conard and Prindiville as coming from layer 5, and even those could not be verified as originating from it."	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Transport distances from Féblot-Augustins, quantities from Street and van Kolfschoten.; Street, M., and van Kolfschoten, T., 2002. Plaidter Hummerich. An early Weichselian Middle Palaeolithic site in the Central Rhineland, Germany. Monographien des Römisch-Germanischen Zentralmuseums Mainz 45. Bonn: Habelt.; Conard, N.J., and Prindiville, T.J., 2000. Middle Palaeolithic Hunting Economies in the Rhineland. International Journal of Osteoarchaeology, 10, 286-309."	Middle Palaeolithic	?	?	Other/mixed	661	29.30178575	5.86035715	120	7	6	4	2	0	290	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.1	Las Pélénos		Cave	0.9333	44.4833	France	Monsempron	Haut-Agenais						Würm II	3	Late Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Scolan, H., Santos, F., Tillier, A.-M., Maureille, B., and Quintard, A., 2012. Des nouveaux vestiges néanderthaliens à Las Pélénos (Monsempron-Libos, Lot-et-Garonne, France). Bulletins et mémoires de la Société d'anthropologie de Paris, 24(1-2), 69-95."	Quina Mousterian	Quina	Quina	Quina	221	21.42788931	2.678486164	30	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.1	Le Pech		Open air	1.7	44.46667	France	Tour-de-Faure	Quercy						Würm ancien	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Turq, A.,  2000. Le Moustérien typique. Paléo, 2(1), 274-291."	Typical Mousterian	Typical	Levallois	Ante-Quina	101	23.07755214	4.615510429	60	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.1	Roc de Marsal	c.III	Cave	0.96705	44.90636	France	Campagne-du-Bugue	Périgord							5a	Early Weichselian				65 identified remains (REF needed); possibly bad preservation; percentages do not match lithic quantity.	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Thiébaut, C., 2003. L’industrie lithique de la couche III du Roc de Marsal (Dordogne): le problème de l’attribution d’une série lithique au Moustérien à denticulés. Paleo, 15, 141-168.; Goldberg, P., Dibble, H., Berna, F., Sandgathe, D., McPherron, S.J.P., and Turq, A., 2012. New evidence on Neandertal use of fire: Examples from Roc de Marsal and Pech de l’Azé IV. Quaternary International, 247, 325-340."	Denticulate Mousterian with Levallois	Denticulate	Levallois	Levallois-denticulate	4021	22.94976988	5.737442469	35	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.1	Fonseigner	Couche 4B; I	Abri	0.6095	45.3167	France	Bourdeilles	Périgord						Würm ancien	5d-4	Early Weichselian		8		No fauna	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Geneste, J.-M., 1985. Analyse lithique d'industries moustériennes Périgord: une approche technologique du comportement des groupes humains au Paléolithique moyen. Tome 1: Texte. PhD thesis: L'Université Bordeaux I."	Middle Palaeolithic	?	?	Other/mixed	101	16.19465661	4.048664153	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.2	Fonseigner	Couche 3B; H	Abri	0.6095	45.3167	France	Bourdeilles	Périgord						Würm ancien	5d-4	Early Weichselian		12		No fauna	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Geneste, J.-M., 1985. Analyse lithique d'industries moustériennes Périgord: une approche technologique du comportement des groupes humains au Paléolithique moyen. Tome 1: Texte. PhD thesis: L'Université Bordeaux I."	Mousterian	?	?	Other/mixed	226	30.42637808	4.346625441	40	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.3	Fonseigner	Couche 3A; G	Abri	0.6095	45.3167	France	Bourdeilles	Périgord						Würm ancien	5d-4	Early Weichselian		12		No fauna	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Geneste, J.-M., 1985. Analyse lithique d'industries moustériennes Périgord: une approche technologique du comportement des groupes humains au Paléolithique moyen. Tome 1: Texte. PhD thesis: L'Université Bordeaux I."	Mousterian	?	?	Other/mixed	272	19.28836929	4.822092323	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.4	Fonseigner	Couche 2; F	Abri	0.6095	45.3167	France	Bourdeilles	Périgord						Würm ancien	5d-4	Early Weichselian		12		No fauna	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Geneste, J.-M., 1985. Analyse lithique d'industries moustériennes Périgord: une approche technologique du comportement des groupes humains au Paléolithique moyen. Tome 1: Texte. PhD thesis: L'Université Bordeaux I."	Typical Mousterian	Typical	Levallois	Ante-Quina	1067	33.95784158	4.851120226	40	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.5	Fonseigner	Couche 1B; E	Abri	0.6095	45.3167	France	Bourdeilles	Périgord	56	62.8	49.2	TL			04-Mar	Late Weichselian		14		"Fauna is only reported for couche 1 by Geneste (1985), requiring archaeological layers E and D (s, m, and i) to be lumped"	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Geneste, J.-M., 1985. Analyse lithique d'industries moustériennes Périgord: une approche technologique du comportement des groupes humains au Paléolithique moyen. Tome 1: Texte. PhD thesis: L'Université Bordeaux I."	Typical Mousterian	Typical	Levallois	Ante-Quina	1870	46.49719399	5.812149249	50	8	4	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.6	Fonseigner	Couche 1A; Dm & Di	Abri	0.6095	45.3167	France	Bourdeilles	Périgord	52.2	57.5	46.9	TL			3c	Late Weichselian		16		"Fauna is only reported for couche 1 by Geneste (1985), requiring archaeological layers E and D (s, m, and i) to be lumped"	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Geneste, J.-M., 1985. Analyse lithique d'industries moustériennes Périgord: une approche technologique du comportement des groupes humains au Paléolithique moyen. Tome 1: Texte. PhD thesis: L'Université Bordeaux I."	Typical Mousterian	Typical	Levallois	Ante-Quina	1725	35.22587784	5.032268264	50	7	4	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.7	Fonseigner	Couche 1A; D Superior	Abri	0.6095	45.3167	France	Bourdeilles	Périgord	50.2	55.5	44.9	TL			3c	Late Weichselian		14		"Fauna is only reported for couche 1 by Geneste (1985), requiring archaeological layers E and D (s, m, and i) to be lumped"	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Geneste, J.-M., 1985. Analyse lithique d'industries moustériennes Périgord: une approche technologique du comportement des groupes humains au Paléolithique moyen. Tome 1: Texte. PhD thesis: L'Université Bordeaux I."	MTA	MTA	MTA	MTA	2067	41.86320319	5.232900398	50	8	4	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.8	Fonseigner	Couche 0; ABC	Abri	0.6095	45.3167	France	Bourdeilles	Périgord						Würm II	3	Late Weichselian		16		No fauna	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Geneste, J.-M., 1985. Analyse lithique d'industries moustériennes Périgord: une approche technologique du comportement des groupes humains au Paléolithique moyen. Tome 1: Texte. PhD thesis: L'Université Bordeaux I."	MTA	MTA	MTA	MTA	600	27.32814012	4.554690019	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30.1	Sandougne	D	Open air	0.6	45.3833	France	La Tabaterie	Périgord						Würm ancien	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	Denticulate Mousterian	Denticulate	Discoid	Discoid-denticulate	642	37.90498454	4.738123068	100	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30.2	Sandougne	F	Open air	0.6	45.3833	France	La Tabaterie	Périgord						Würm II	3	Late Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	MTA	MTA	MTA	MTA	199	39.43093553	4.381215058	100	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.1	Brouillaud	C	Abri	0.559166667	45.36777778	France	La Tabaterie	Périgord						Würm ancien	5d-4	Early Weichselian				"Percentages change in Geneste's publication, Feblot-Augustins' data differs from Geneste's, although she only cites Geneste. Unaccounted raw materials exist."	"Distances: Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Quantities: Geneste, J.-M., 1985. Analyse lithique d'industries moustériennes Périgord: une approche technologique du comportement des groupes humains au Paléolithique moyen. Tome 1: Texte. PhD thesis: L'Université Bordeaux I."	MTA	MTA	MTA	MTA	1358	23.23595799	5.808989497	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.2	Brouillaud	D	Abri	0.559166667	45.36777778	France	La Tabaterie	Périgord						Würm ancien	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	Denticulate Mousterian	Denticulate	Discoid	Discoid-denticulate	1202	31.48859963	5.248099938	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.1	Des Festons		Abri	0.65	45.366669	France	Brantome	Périgord						Würm ancien	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	Denticulate Mousterian	Denticulate	Discoid	Discoid-denticulate	235	13.8560842	4.618694734	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.1	Le Roc		Open air	9.6000000000000002E	44.653	France	Saint-Just	Périgord						Würm ancien	5d-4	Early Weichselian		200		"No MNI, fauna not particularly well reported."	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Fauna: Rigaud, J.-P., Aquitaine. Gallia préhistoire, 23(2), 391-42."	Denticulate Mousterian	Denticulate	Discoid	Discoid-denticulate	2415	19.98100639	4.995251598	25	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34.1	Coursac		Open air	0.6333	45.1333	France	Font de Meaux	Périgord						Würm I	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	MTA	MTA	MTA	MTA	655	22.93031591	4.586063181	35	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35.1	Le Dau		Open air	1.18333	44.88333	France	St André d'Allas	Périgord						Würm II	3	Late Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	MTA	MTA	MTA	MTA	1496	26.27344506	5.254689011	40	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38.1	Lacapalle-Marival		Open air	0.9	44.266666	France	Engayrac	Pays des Serres						Würm ancien	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	Mousterian	?	?	Other/mixed	4	5.209486153	2.604743076	60	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39.1	Gouts		Open air	1.0167	44.3333	France	Montaigu	Pays des Serres						Würm ancien	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	Mousterian	?	?	Other/mixed	1	3.044522438	3.044522438	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41.1	En Tourettes		Open air	1.4333	43.8333	France	Villaudric	Bassin du Tarn						Würm ancien	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	MTA	MTA	MTA	MTA	16	7.780720886	3.890360443	37	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42.1	Giroussens		Open air	1.783333	43.766666	France	Giroussens	Bassin du Tarn						Würm ancien	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	MTA	MTA	MTA	MTA	43	8.797095077	2.932365026	26	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43.1	Saint-Joseph		Open air	1.783333	43.766666	France	Giroussens	Bassin du Tarn						Würm ancien	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	MTA	MTA	MTA	MTA	62	10.67359577	3.557865258	26	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44.1	Ducrose		Open air	1.783333	43.766666	France	Giroussens	Bassin du Tarn						Würm ancien	5d-4	Early Weichselian					"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	MTA	MTA	MTA	MTA	24	7.0800265	3.54001325	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
